Date,Time,Test Stand,GO #,Code String,% Load,Refrigerant,Test Length,SN #,Net Evap Capacity,Evap GPM,EEWT,ELWT,Evap Delta T,EvapWaterDeltaP Corrected ftH2O,Evap Presure,Baro Pressure,Cond GPM,CLWT,CEWT,Cond Delta T,CondWaterDeltaP Corrected ftH2O,Cond Pressure,Liquid Line Temp,Subcooling ,Suction Temp,Discharge Temp,Discharge SH,FreqC1PhA,PowerTotal,Efficiency,Energy Balance,Suction SH,Evap Sat Temp,Cond Sat Temp Circuit 1,Volts Avg,VoltBalance,EvapWaterDeltaP ftH2O,CondWaterDeltaP ftH2O,Tons Time Ave,Evap WF Time Ave,Evap WT In Time Ave,Evap WT Out Time Ave,Evap Delta Press Time Ave,Cond WF Time Ave,Cond WT In Time Ave,Cond Delta Press Time Ave,Voltage Ave Time Ave,Voltage Bal Time Ave,Voltage Freq Time Ave,KW/Ton Time Ave,Energy Bal Time Ave,Evap WF Stab Time Ave,Evap WT In Stab Time Ave,Evap WT Out Stab Time Ave,Cond WF Stab Time Ave,Cond WT In Stab Time Ave,Voltage Ave Stab Time Ave,Voltage Freq Stab Time Ave,Pass,EXV Pos FB,EXV Pos SP,IGV Pos Mech FB,VFD Speed FB,VFD Speed SP
12/17/21 ,17:11:48.40,800 WCTS,6025037-00100,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000070,3.520925,1189.181494,71.598417,71.527219,0.071198,-0.401614,37.956297,0.000000,1470.208716,71.624097,71.437117,0.186980,-0.809131,66.096711,0.000000,0.000000,0.000000,0.000000,0.000000,59.992042,16.400042,4.657879,-32.874395,0.000000,0.000000,0.000000,570.080042,0.354336,-0.401614,-0.809131,     NaN,530.690659,     NaN,     NaN,-0.310439,514.073242,     NaN,-0.269331,465.468780,1.000000,49.000640,     NaN,     NaN,     NaN,433.988890,     NaN,     NaN,567.309766,     NaN,221.156867,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/17/21 ,17:11:53.40,800 WCTS,6025037-00100,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000070,7.399002,1190.476904,71.590707,71.415518,0.175189,-0.410072,37.952999,0.000000,1467.019214,71.764900,71.480431,0.284469,-0.809435,66.138831,0.000000,0.000000,0.000000,0.000000,0.000000,59.991007,20.320007,2.746317,-27.614312,0.000000,0.000000,0.000000,569.963341,0.360257,-0.410072,-0.809435,     NaN,537.111349,     NaN,     NaN,-0.310108,521.880005,     NaN,-0.268796,465.478224,1.000000,49.000645,     NaN,     NaN,     NaN,435.156290,     NaN,     NaN,570.713611,     NaN,221.161322,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/17/21 ,17:11:58.41,800 WCTS,6025037-00100,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000070,12.306294,1190.229187,71.579973,71.331343,0.248630,-0.407699,37.933593,0.000000,1466.621802,71.857104,71.509176,0.347928,-0.805307,66.207780,0.000000,0.000000,0.000000,0.000000,0.000000,59.991017,20.320017,1.651189,-15.803345,0.000000,0.000000,0.000000,569.963351,0.360257,-0.407699,-0.805307,     NaN,543.581873,     NaN,     NaN,-0.309759,529.675615,     NaN,-0.268238,465.487021,1.000000,49.000645,     NaN,     NaN,     NaN,436.164946,     NaN,     NaN,573.990326,     NaN,221.165470,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/17/21 ,17:12:03.40,800 WCTS,6025037-00100,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000070,25.551129,1192.634204,71.524973,71.009804,0.515170,-0.404699,37.979224,0.000000,1468.268176,72.182310,71.610464,0.571846,-0.803752,66.213567,0.000000,0.000000,0.000000,0.000000,0.000000,59.992030,22.360030,0.875109,-8.896595,0.000000,0.000000,0.000000,569.926697,0.364374,-0.404699,-0.803752,     NaN,550.227699,     NaN,     NaN,-0.309363,537.512283,     NaN,-0.267671,465.494835,1.000000,49.000606,     NaN,     NaN,     NaN,436.893744,     NaN,     NaN,577.130866,     NaN,221.169155,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/17/21 ,17:12:08.41,800 WCTS,6025037-00100,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000070,34.938889,1190.507861,71.475940,70.770245,0.705695,-0.392331,37.985398,0.000000,1467.122424,72.413219,71.683971,0.729249,-0.820492,66.182169,0.000000,0.000000,0.000000,0.000000,0.000000,59.994048,23.500048,0.672604,-7.359784,0.000000,0.000000,0.000000,569.913382,0.369062,-0.392331,-0.820492,     NaN,556.860336,     NaN,     NaN,-0.308906,545.333726,     NaN,-0.267202,465.502576,1.000000,49.000578,     NaN,     NaN,     NaN,437.504368,     NaN,     NaN,580.145269,     NaN,221.172805,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/17/21 ,17:12:13.41,800 WCTS,6025037-00100,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000070,50.864957,1190.523340,71.384250,70.356926,1.027324,-0.391912,37.985817,0.000000,1467.065662,72.801731,71.810065,0.991666,-0.815222,66.218510,0.000000,0.000000,0.000000,0.000000,0.000000,59.992002,22.330002,0.439006,-5.511867,0.000000,0.000000,0.000000,569.843336,0.376127,-0.391912,-0.815222,     NaN,563.487612,     NaN,     NaN,-0.308431,553.157032,     NaN,-0.266687,465.509853,1.000000,49.000528,     NaN,     NaN,     NaN,438.013532,     NaN,     NaN,583.040830,     NaN,221.176237,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/17/21 ,17:12:18.40,800 WCTS,6025037-00100,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000070,64.969523,1192.159375,71.294275,69.983919,1.310356,-0.401623,37.981680,0.000000,1467.199817,73.141406,71.920743,1.220663,-0.820288,66.218089,0.000000,0.000000,0.000000,0.000000,0.000000,59.992096,22.330096,0.343701,-4.271048,0.000000,0.000000,0.000000,569.843430,0.376127,-0.401623,-0.820288,     NaN,570.119418,     NaN,     NaN,-0.307991,561.053712,     NaN,-0.266186,465.516871,1.000000,49.000450,     NaN,     NaN,     NaN,438.431827,     NaN,     NaN,585.746698,     NaN,221.179546,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/17/21 ,17:12:23.41,800 WCTS,6025037-00100,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000070,73.796861,1190.528503,71.233923,69.743520,1.490403,-0.401411,37.954849,0.000000,1468.670715,73.356567,71.990808,1.365759,-0.826372,66.198276,0.000000,0.000000,0.000000,0.000000,0.000000,59.992087,22.330087,0.302589,-3.936500,0.000000,0.000000,0.000000,569.843420,0.376127,-0.401411,-0.826372,     NaN,576.750192,     NaN,     NaN,-0.307572,568.976512,     NaN,-0.265745,465.523890,1.000000,49.000372,     NaN,     NaN,     NaN,438.740813,     NaN,     NaN,588.333489,     NaN,221.182855,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/17/21 ,17:12:28.41,800 WCTS,6025037-00100,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000070,90.573123,1190.858801,71.111153,69.282514,1.828639,-0.413587,37.958982,0.000000,1468.386877,73.753542,72.120054,1.633488,-0.817285,66.206950,0.000000,0.000000,0.000000,0.000000,0.000000,60.007031,23.750031,0.262219,-2.706308,0.000000,0.000000,0.000000,569.796697,0.378498,-0.413587,-0.817285,     NaN,583.381338,     NaN,     NaN,-0.307210,576.920157,     NaN,-0.265287,465.530815,1.000000,49.000350,     NaN,     NaN,     NaN,438.945859,     NaN,     NaN,590.772005,     NaN,221.186118,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/17/21 ,17:12:33.41,800 WCTS,6025037-00100,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000070,106.830638,1191.023975,70.976523,68.820037,2.156486,-0.430728,37.943492,0.000000,1470.822839,74.121471,72.237965,1.883507,-0.825239,66.207770,0.000000,0.000000,0.000000,0.000000,0.000000,60.009067,25.180067,0.235701,-1.364405,0.000000,0.000000,0.000000,569.773400,0.381438,-0.430728,-0.825239,     NaN,590.019366,     NaN,     NaN,-0.306864,584.872232,     NaN,-0.264805,465.537630,1.000000,49.000334,     NaN,     NaN,     NaN,439.055814,     NaN,     NaN,593.100166,     NaN,221.189330,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
